Timestamp,Open,High,Low,Close,Volume
2023-02-24 00:00:00,6.685,6.861,6.1,6.285,2158593.99
2023-02-25 00:00:00,6.284,6.37,5.872,6.11,1498459.37
2023-02-26 00:00:00,6.109,6.323,6.026,6.242,1363289.2
2023-02-27 00:00:00,6.24,6.499,5.993,6.124,2015881.46
2023-02-28 00:00:00,6.123,6.141,5.761,5.798,1410246.71
2023-03-01 00:00:00,5.799,6.224,5.74,6.177,1894090.58
2023-03-02 00:00:00,6.176,6.198,5.765,5.932,1356673.81
2023-03-03 00:00:00,5.933,5.933,5.25,5.591,2228568.45
2023-03-04 00:00:00,5.592,5.636,5.204,5.399,1108663.59
2023-03-05 00:00:00,5.399,5.548,5.294,5.339,1081194.31
2023-03-06 00:00:00,5.336,5.531,5.24,5.319,1443202.43
2023-03-07 00:00:00,5.32,5.426,5.151,5.336,1515202.23
2023-03-08 00:00:00,5.336,5.364,4.98,5.046,1589808.54
2023-03-09 00:00:00,5.047,5.255,4.655,4.768,2334246.17
2023-03-10 00:00:00,4.768,4.981,4.543,4.923,2562377.91
2023-03-11 00:00:00,4.922,5.034,4.525,4.718,2096224.1
2023-03-12 00:00:00,4.717,5.273,4.608,5.226,1913359.66
2023-03-13 00:00:00,5.226,5.445,4.989,5.364,3170548.43
2023-03-14 00:00:00,5.364,5.775,5.209,5.529,3520935.59
2023-03-15 00:00:00,5.527,5.675,4.962,5.168,2759877.59
2023-03-16 00:00:00,5.17,5.262,5.041,5.165,1767231.44
2023-03-17 00:00:00,5.165,5.69,5.112,5.637,2294472.4
2023-03-18 00:00:00,5.637,5.762,5.282,5.33,2339877.81
2023-03-19 00:00:00,5.332,5.614,5.305,5.407,1712033.67
2023-03-20 00:00:00,5.407,5.526,5.039,5.106,2479646.79
2023-03-21 00:00:00,5.105,5.297,5.0,5.256,1823872.22
2023-03-22 00:00:00,5.253,5.293,4.841,5.089,2552281.67
2023-03-23 00:00:00,5.088,5.258,4.988,5.198,1184479.43
2023-03-24 00:00:00,5.2,5.25,4.851,4.947,1325638.44
2023-03-25 00:00:00,4.946,4.992,4.78,4.894,942115.26
2023-03-26 00:00:00,4.893,5.028,4.868,4.985,652620.49
2023-03-27 00:00:00,4.985,4.995,4.62,4.756,1343540.62
2023-03-28 00:00:00,4.756,4.87,4.672,4.831,934550.78
2023-03-29 00:00:00,4.832,5.2,4.832,5.147,1586895.53
2023-03-30 00:00:00,5.146,5.195,4.915,5.019,1467669.23
2023-03-31 00:00:00,5.022,5.302,4.982,5.191,1473230.27
2023-04-01 00:00:00,5.19,5.289,5.093,5.241,1036239.45
2023-04-02 00:00:00,5.24,5.299,4.975,5.065,1450360.72
2023-04-03 00:00:00,5.065,5.09,4.761,4.93,1812568.05
2023-04-04 00:00:00,4.93,5.042,4.9,4.993,1410094.0
2023-04-05 00:00:00,4.994,5.142,4.927,5.017,1511960.3
2023-04-06 00:00:00,5.016,5.026,4.835,4.89,1117201.39
2023-04-07 00:00:00,4.889,5.088,4.801,4.98,1433972.65
2023-04-08 00:00:00,4.981,5.031,4.857,4.915,849688.86
2023-04-09 00:00:00,4.914,5.084,4.842,5.015,1008173.71
2023-04-10 00:00:00,5.015,5.241,4.955,5.181,1541845.18
2023-04-11 00:00:00,5.181,5.348,5.127,5.329,1624902.91
2023-04-12 00:00:00,5.326,5.48,5.125,5.397,2529757.09
2023-04-13 00:00:00,5.4,5.52,5.263,5.472,1425548.12
2023-04-14 00:00:00,5.473,5.654,5.334,5.498,1760871.14
2023-04-15 00:00:00,5.502,5.95,5.383,5.86,2375187.5
2023-04-16 00:00:00,5.86,6.206,5.746,6.069,2841657.42
2023-04-17 00:00:00,6.069,6.29,5.837,6.244,3508186.58
2023-04-18 00:00:00,6.244,7.11,6.126,6.819,5710360.53
2023-04-19 00:00:00,6.82,7.236,6.003,6.119,5922090.61
2023-04-20 00:00:00,6.119,6.395,5.817,5.882,2842607.27
2023-04-21 00:00:00,5.877,5.935,5.392,5.533,2400016.07
2023-04-22 00:00:00,5.533,5.629,5.394,5.613,1533858.23
2023-04-23 00:00:00,5.611,5.624,5.25,5.417,1352409.97
2023-04-24 00:00:00,5.417,5.581,5.26,5.372,1227640.51
2023-04-25 00:00:00,5.371,5.535,5.174,5.491,1501060.4
2023-04-26 00:00:00,5.491,5.714,5.041,5.315,2459439.77
2023-04-27 00:00:00,5.316,5.797,5.282,5.742,1666797.54
